ZO,RO,Vertical,Crop,Hybrid,Crop Grp,Source,FYPQ,FYPV,CMPQ,CMPV,CM Est 1,CM Est 2,CME,CMINVQ,CMINVV,CMPOGQ,CMPOGV,CM NRV,YTDPOGQ,YTDPOGV,YTDLMPOGQ,YTDLMPOGV,YTDLMPQ,YTDLMPV,STKQ,STKV,STK,YTDINVQ,YTDINVV,OPBALQ,PRPOGQ,PRPOGV,CMP,CMPOG,YTDPQ,YTDPV,YTDP,YTDPOG,YTDLMPOG,YTDLMP,CMRET,YTDRET,CMRETQ,CMRETV,YTDRETQ,YTDRETV,Divisions,H1PQ,Segment,Dashboard,Veg. Crop,H1PV,CMEV,LM Difference,Genetics,LYP,LYPQ,LYPV,LYPOG,LYPOGQ,LYPOGV,NMPQ,NMPV,NMP,Plan NRV,OpBR,OpBR180,COL
JAIPUR,JAIPUR,VEGETABLES,J CORIANDER,RUCHI,VEGETABLES,#N/A,0,0,0,0,,,,20,0.05605,20,0.05027,251.35,1644,4.132194,1624,4.081924,0,0,0,0,0,1644,4.5182893,0,1644,4.132194,0,0.05027,0,0,0,4.132194,4.081924,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,RUCHI,0,0,0,0.24,120,0.24,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,J CORIANDER,RUCHI SPLIT,VEGETABLES,#N/A,"1,800.00",4.41,0,0,,,,0,0,0,0,0,0,0,0,0,1700,4.165,0,0,0,0,0,0,0,0,0,0,1700,4.165,4.165,0,0,4.165,0,0,0,0,0,0,TRADE,1400,TRADE,Main,ZOther Veg,3.43,,0,RUCHI SPLIT,0,0,0,0,0,0,0,0,0,245,0,0,0
JAIPUR,JAIPUR,VEGETABLES,K PEA,PEA10,VEGETABLES,K PEA,"4,600.00",6.44,0,0,,,,0,0,0,0,180,4880,8.784,4880,8.784,3100,4.34,0,0,0,4880,10.431,0,4880,8.784,0,0,4600,6.44,6.44,8.784,8.784,4.34,0,0,0,0,0,0,TRADE,1000,TRADE,Main,K PEA,1.4,,0,PEA 10,4,2500,4,1.4976,936,1.4976,0,0,0,140,0,0,0
JAIPUR,JAIPUR,VEGETABLES,K PEA,SOFT10,VEGETABLES,K PEA,0,0,0,0,,,,0,0,0,0,180,3559,6.4062,3559,6.4062,0,0,0,0,0,3559,7.6073625,0,3559,6.4062,0,0,0,0,0,6.4062,6.4062,0,0,-180,0,0,-180,-0.385,TRADE,0,TRADE,Main,K PEA,0,,0,PEA 10,2.8,1750,2.8,2.1744,1359,2.1744,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,K PEA,WONDER11,VEGETABLES,K PEA,900,1.44,0,0,,,,80,0.2356,220,0.572,260,1440,3.744,1220,3.172,500,0.8,0,0,0,1440,4.2408,0,1440,3.744,0,0.572,900,1.44,1.44,3.744,3.172,0.8,0,-120,0,0,-120,-0.353,TRADE,200,TRADE,Main,K PEA,0.32,,0,PEA 10,0,0,0,0,0,0,0,0,0,160,0,0,0
JAIPUR,JAIPUR,VEGETABLES,M CUCUMBER,ANKITA,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,GARIMA SUPER,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,M CUCUMBER,GARIMA SUPER,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,16500,-0.1,-0.0165,-0.1,-0.0165,0,0,0,0,0,-0.6,-0.12825,0.5,-0.1,-0.0165,0,0,0,0,0,-0.0165,-0.0165,0,0,-0.6,0,0,-0.6,-0.128,TRADE,0,TRADE,Main,ZOther Veg,0,,0,GARIMA SUPER,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,M CUCUMBER,MANSI,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0.5,0.09,18000,-1.29,-0.2322,-1.79,-0.3222,0,0,0,0,0,-1.29,-0.3163975,0,-1.29,-0.2322,0,0.09,0,0,0,-0.2322,-0.3222,0,0,-1.79,0,0,-1.79,-0.417,TRADE,0,TRADE,Main,ZOther Veg,0,,0,MANSI,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,BLOOM 2000-C,VEGETABLES,N CAULIFLOWER,0,0,0,0,,,,-2,-0.012255,0,0,550,35,0.1925,35,0.1925,0,0,23,0.1265,0.1265,58,0.355395,0,35,0.1925,0,0,0,0,0,0.1925,0.1925,0,-0.012,-2,-2,-0.012,-2,-0.012,TRADE,0,TRADE,Main,N CAULIFLOWER,0,,0,,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,CORAL WHITE+,VEGETABLES,N CAULIFLOWER,20,7.7,0,0,,,,-1.5,-0.705375,0.5,0.1925,38500,10.6,4.081,10.1,3.8885,14,5.39,3.34,1.2859,1.2859,13.94,6.555285,0,10.1,3.8885,0,0.1925,19,7.315,7.315,4.081,3.8885,5.39,-0.941,-5.66,-2,-0.941,-5.66,-2.662,TRADE,3,TRADE,Main,N CAULIFLOWER,1.155,,0,CORAL WHITE +,4.29,13,4.29,2.7786,8.42,2.7786,0,0,0,38500,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,PEARLWHITE,VEGETABLES,N CAULIFLOWER,7,3.934,0,0,,,,0,0,0,0,56200,19.49,10.95338,19.49,10.95338,3,1.686,0,0,0,18.89,12.3092925,0.6,19.49,10.95338,0,0,3,1.686,1.686,10.95338,10.95338,1.686,0,-5.76,0,0,-5.76,-3.748,TRADE,3,TRADE,Main,N CAULIFLOWER,1.686,,0,PEARLWHITE,0,0,0,0.05,0.1,0.05,0,0,0,56200,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,SMILEY 2000-C,VEGETABLES,N CAULIFLOWER,0,0,0,0,,,,97,0.70034,80,0.52,650,110,0.715,30,0.195,0,0,167,1.0855,1.0855,277,1.99994,0,30,0.195,0,0.52,0,0,0,0.715,0.195,0,-0.058,-8,-8,-0.058,-8,-0.058,TRADE,0,TRADE,Main,N CAULIFLOWER,0,,0,,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,SNOW WHITE,VEGETABLES,N CAULIFLOWER,45,17.64,0,0,,,,0,0,0,0,0,0,0,0,0,45,17.64,0,0,0,0,0,0,0,0,0,0,45,17.64,17.64,0,0,17.64,0,0,0,0,0,0,TRADE,40,TRADE,Main,N CAULIFLOWER,15.68,,0,SNOW WHITE,0,0,0,0,0,0,0,0,0,39200,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,SW65,VEGETABLES,N CAULIFLOWER,0,0,0,0,,,,-0.43,-0.2062925,0.23,0.09016,39200,24.83,9.73336,24.6,9.6432,0,0,0.03,0.01176,0.01176,24.82,11.907395,0.04,24.54,9.61968,0,0.09016,0,0,0,9.73336,9.6432,0,-0.206,-6.18,-0.43,-0.206,-6.18,-2.965,TRADE,0,TRADE,Main,N CAULIFLOWER,0,,0,SNOW WHITE,1.75,5,1.75,1.316,3.76,1.316,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,N CAULIFLOWER,WHITEGLORY,VEGETABLES,N CAULIFLOWER,0,0,0,0,,,,0,0,0,0,34000,8.56,2.9104,8.56,2.9104,0,0,1.05,0.357,0.357,9.61,3.761354,0,8.56,2.9104,0,0,0,0,0,2.9104,2.9104,0,0,-2.55,0,0,-2.55,-0.998,TRADE,0,TRADE,Main,N CAULIFLOWER,0,,0,WHITEGLORY,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,O BEANS,KANIKA,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,410,-11,-0.0451,-11,-0.0451,0,0,0,0,0,-11,-0.06688,0,-11,-0.0451,0,0,0,0,0,-0.0451,-0.0451,0,0,-11,0,0,-11,-0.067,TRADE,0,TRADE,Main,ZOther Veg,0,,0,RIA,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,O BEANS,RIA,VEGETABLES,#N/A,200,0.901,0,0,,,,10,0.06935,5,0.0225,450,-14.5,-0.06525,-19.5,-0.08775,75,0.337875,5,0.0225,0.0225,-10,-0.071915,0.5,-17.5,-0.07875,0,0.0225,75,0.337875,0.337875,-0.06525,-0.08775,0.337875,0,-20,0,0,-20,-0.122,TRADE,75,TRADE,Main,ZOther Veg,0.337875,,0,RIA,0,0,0,0.2964,78,0.2964,125,0.56,0.56,450,0,0,0
JAIPUR,JAIPUR,VEGETABLES,P CABBAGE,CABBAGE SAMRAT,VEGETABLES,P CABBAGE,0,0,0,0,,,,0.3,0.056145,0.5,0.085,17000,3.5,0.595,3,0.51,0,0,1.3,0.221,0.221,4.8,0.89832,0,3,0.51,0,0.085,0,0,0,0.595,0.51,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,P CABBAGE,0,,0,SAMRAT,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,P CABBAGE,GREEN BALL,VEGETABLES,P CABBAGE,0,0,0,0,,,,0,0,0,0,20000,4.28,0.856,4.28,0.856,0,0,0.22,0.044,0.044,4.5,1.0089,0,4.28,0.856,0,0,0,0,0,0.856,0.856,0,0,-0.32,0,0,-0.32,-0.072,TRADE,0,TRADE,Main,P CABBAGE,0,,0,GREEN BALL,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,R SWEET PEPPER,TARA,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,85000,0.64,0.544,0.64,0.544,0,0,0,0,0,0.64,0.6384,0,0.64,0.544,0,0,0,0,0,0.544,0.544,0,0,-2.71,0,0,-2.71,-2.703,TRADE,0,TRADE,Main,ZOther Veg,0,,0,TARA,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,S RADISH,JAIDEV,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,1700,10,0.17,10,0.17,0,0,0,0,0,10,0.187625,0,10,0.17,0,0,0,0,0,0.17,0.17,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,MEENAKSHI,0,0,0,0.075,5,0.075,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,S RADISH,MEENAKSHI,VEGETABLES,#N/A,130,2.21,0,0,,,,0,0,16.7,0.2839,1700,371.7,6.3189,355,6.035,130,2.21,105,1.785,1.785,476.7,8.9440837,0,355,6.035,0,0.2839,130,2.21,2.21,6.3189,6.035,2.21,0,-75,0,0,-75,-1.407,TRADE,120,TRADE,Main,ZOther Veg,2.04,,0,MEENAKSHI,0,0,0,0.075,5,0.075,0,0,0,1700,0,0,0
JAIPUR,JAIPUR,VEGETABLES,T BEETROOT,BEET ROOT,VEGETABLES,#N/A,0,0,0,0,,,,0,0,1,0.011,1100,6,0.066,5,0.055,0,0,0,0,0,6,0.0741,0,5,0.055,0,0.011,0,0,0,0.066,0.055,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,BEETROOT,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,V PALAK,PALAK,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRADE,0,TRADE,Main,ZOther Veg,0,,0,PALAK,0,0,0,0.2187,162,0.2187,0,0,0,,0,0,0
JAIPUR,JAIPUR,VEGETABLES,W MUSKMELON,REDGOLD,VEGETABLES,#N/A,0,0,0,0,,,,0,0,0,0,18000,-0.2,-0.036,-0.2,-0.036,0,0,0,0,0,-1.15,-0.2622,0.95,-0.2,-0.036,0,0,0,0,0,-0.036,-0.036,0,0,-1.15,0,0,-1.15,-0.262,TRADE,0,TRADE,Main,ZOther Veg,0,,0,RED GOLD,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,UDAIPUR,COTTON,COTTON,666+,COTTON,,0,0,0,0,,,,0,0,0,0,657,0.00138,0.90666,0.00138,0.90666,0,0,0,0,0,0.00138,1.18297,0,0.00138,0.90666,0,0,0,0,0,0.00138,0.00138,0,0,-0.002,0,0,-0.002,-1.399,TRADE,0,TRADE,Main,,0,,0,666,0,0,0,0,0,0,0,0,0,,436.11,59.99,26.76
JAIPUR,UDAIPUR,COTTON,COTTON,6688,COTTON,,0,0,0,0,,,,0,0,0,0,364.91,0.00008,0.0291928,0.00008,0.0291928,0,0,0,0,0,0.00008,0.06824,0,0.00008,0.0291928,0,0,0,0,0,0.00008,0.00008,0,0,0,0,0,0,-0.23,TRADE,0,TRADE,Main,,0,,0,6688,0,0,0,0,0,0,0,0,0,,0,0,0
JAIPUR,UDAIPUR,COTTON,COTTON,888,COTTON,,0.02,12.74,0,0,,,,0,0,0,0,0,0,0,0,0,0.02,12.74,0,0,0,0,0,0,0,0,0,0,0.02,12.74,0.02,0,0,0.02,0,0,0,0,0,0,TRADE,0.02,TRADE,Main,,12.74,,0,888,0,0,0,0.00321,0.00321,2.2149,0,0,0,637,0,0,0
